,sl_no,video_id,user_id,comment,likes,last_update_time,sentiment,sentiment_label,stemmed_text,stemmed_clean_text
1122,1123,bGUVQaBdxKw,UCaSJO2XEzbEIgSylDJ3eoGA,She lowkey bad,2,2020-02-05T21:49:09.000Z,-0.6999999999999998,negative,she lowkey bad ,"['lowkey', 'bad']"
1124,1125,bGUVQaBdxKw,UCVCDpt_RwhRrRz9qKpGhzmg,Damn she described the Philippines perfectly.,0,2020-02-06T11:26:20.000Z,1.0,positive,damn she describ the philippin perfectli ,"['damn', 'describ', 'philippin', 'perfectli']"
1125,1126,bGUVQaBdxKw,UC-VtI2lTIpA4bFdhthD5IOA,"This video just about sums it all up in many countries, crime starts with money fed and lazy government. https://youtu.be/dxhj4Jg3dzU",0,2020-02-26T09:56:10.000Z,0.125,neutral,thi video just about sum it all up in mani countri crime start with money fed and lazi govern http ,"['video', 'sum', 'mani', 'countri', 'crime', 'start', 'money', 'fed', 'lazi', 'govern', 'http']"
1126,1127,bGUVQaBdxKw,UCC9Vw9IvFgbXpTJwWtr3ZWA,"This sounds like Odessa, Texas",1,2020-02-04T23:23:06.000Z,0.0,neutral,thi sound like odessa texa ,"['sound', 'like', 'odessa', 'texa']"
1127,1128,bGUVQaBdxKw,UC1QoiPj8b5el8kvA0PxzxJg,What about honduras?,0,2020-02-06T07:17:59.000Z,0.0,neutral,what about hondura ,['hondura']
1128,1129,bGUVQaBdxKw,UCOMOdxpuSq5vSZsCF7_QVGA,look to iceland,0,2020-02-05T11:50:30.000Z,0.0,neutral,look to iceland ,"['look', 'iceland']"
1129,1130,bGUVQaBdxKw,UC5-obkp_A4NbGyykg2hIliQ,great woman very smart,12,2020-02-05T00:29:18.000Z,0.5392857142857144,positive,great woman veri smart ,"['great', 'woman', 'veri', 'smart']"
1130,1131,bGUVQaBdxKw,UCLaKRiq1bbFqVRg6YpwWqDQ,Oh.. Argentina.,0,2020-02-05T00:47:36.000Z,0.0,neutral,Oh argentina ,"['Oh', 'argentina']"
1131,1132,bGUVQaBdxKw,UCpc34FVo8rkyG4y57PnQMHA,Hi god,0,2020-02-05T07:59:37.000Z,0.0,neutral,Hi god ,"['Hi', 'god']"
1132,1133,bGUVQaBdxKw,UCQZ9P58XGsFMu_bKEPTcdag,genios,0,2020-02-08T17:19:58.000Z,0.0,neutral,genio ,['genio']
1133,1134,bGUVQaBdxKw,UCPvpqDqd4ld736L-ObupO2Q,I can directly relate to Delhi violence in India going on currently,0,2020-03-08T19:46:48.000Z,0.05,neutral,I can directli relat to delhi violenc in india go on current ,"['I', 'directli', 'relat', 'delhi', 'violenc', 'india', 'go', 'current']"
1134,1135,bGUVQaBdxKw,UCi0PBP1533D1pmsStl9GxMQ,<3,1,2020-02-05T09:03:19.000Z,1.0,positive,3 ,['3']
1135,1136,bGUVQaBdxKw,UCGupfwWO78Jgk3aklHqeUJQ,Violence is common where lives are cheap. Same as it's always been. Forever,0,2020-02-05T17:26:11.000Z,0.03333333333333335,neutral,violenc is common where live are cheap same as it alway been forev ,"['violenc', 'common', 'live', 'cheap', 'alway', 'forev']"
1136,1137,bGUVQaBdxKw,UCo7Picz9yNj-oKKOYV1Cf9Q,"Sorry except, in the last 30 years, wars are the cause of US government invasion and habit of interfering with political affairs in every sovereign nation of the middle east! So it's definitely a US problem!",1,2020-02-07T07:55:49.000Z,-0.1,neutral,sorri except in the last 30 year war are the caus of US govern invas and habit of interf with polit affair in everi sovereign nation of the middl east So it definit a US problem ,"['sorri', 'except', 'last', '30', 'year', 'caus', 'US', 'govern', 'invas', 'habit', 'interf', 'polit', 'affair', 'everi', 'sovereign', 'nation', 'middl', 'east', 'So', 'definit', 'US', 'problem']"
1137,1138,bGUVQaBdxKw,UCy2B451kMRZJj5V4jZNWdVg,Doubt all CEOs read this much,0,2020-02-06T14:53:27.000Z,0.2,neutral,doubt all ceo read thi much ,"['doubt', 'ceo', 'read', 'much']"
1138,1139,bGUVQaBdxKw,UCmO7dY3r9tUHY8hyfDboxBw,2020,0,2020-02-05T07:34:49.000Z,0.0,neutral,2020 ,['2020']
1139,1140,bGUVQaBdxKw,UCb1b6ErO34oTTX4_ae08aSQ,She is just choosing the most famous or common countries! Forgot about Honduras lady? Study that country and you will have different results,16,2020-02-04T23:21:34.000Z,0.15625,neutral,she is just choos the most famou or common countri forgot about hondura ladi studi that countri and you will have differ result ,"['choos', 'famou', 'common', 'countri', 'forgot', 'hondura', 'ladi', 'studi', 'countri', 'differ', 'result']"
1140,1141,bGUVQaBdxKw,UC32bwORg-rZNExIulLN7KWg,Is this your god plan also?,0,2020-02-05T09:05:40.000Z,0.0,neutral,Is thi your god plan also ,"['Is', 'god', 'plan']"
1141,1142,bGUVQaBdxKw,UCEvN0vkROPUYaxZOx5f9P4Q,"Brazil: 64,00/200 million people = 0.0032 Syria: 34,00/19 million people = 0.0017",0,2020-02-06T19:13:16.000Z,0.0,neutral,brazil million peopl syria million peopl ,"['brazil', 'million', 'peopl', 'syria', 'million', 'peopl']"
1142,1143,bGUVQaBdxKw,UCHrpFfmMQ3SmWIx5-nSNHwg,Inneresting,0,2020-02-06T20:21:29.000Z,0.0,neutral,innerest ,['innerest']
1143,1144,bGUVQaBdxKw,UCsWjd_dS37RtNBPDLxuPDPg,Marxist BS.,0,2020-02-05T03:20:28.000Z,0.0,neutral,marxist BS ,"['marxist', 'BS']"
1144,1145,bGUVQaBdxKw,UCBxeT6n1c8ak-SiL2Q9RahQ,"Probably already been posted, but her initial assertion that Brazil has more violent deaths than Syria is only true in absolute numbers . When the vastly largely population of Brazil (210m) versus that of Syria (18.5m) is factored in, then the 2017 rate of violent deaths is six times as many in Syria (0.18%) as in Brazil (0.03%). I'm a bit surprised she did not mention this and I quickly lost faith in her analysis.",19,2020-02-05T01:31:59.000Z,0.05432900432900432,neutral,probabl alreadi been post but her initi assert that brazil ha more violent death than syria is onli true in absolut number when the vastli larg popul of brazil 210m versu that of syria is factor in then the 2017 rate of violent death is six time as mani in syria as in brazil I a bit surpris she did not mention thi and I quickli lost faith in her analysi ,"['probabl', 'alreadi', 'post', 'initi', 'assert', 'brazil', 'violent', 'death', 'syria', 'onli', 'true', 'absolut', 'number', 'vastli', 'larg', 'popul', 'brazil', '210m', 'versu', 'syria', 'factor', '2017', 'rate', 'violent', 'death', 'six', 'time', 'mani', 'syria', 'brazil', 'I', 'bit', 'surpris', 'mention', 'I', 'quickli', 'lost', 'faith', 'analysi']"
1145,1146,bGUVQaBdxKw,UCO0qzKe29nti5hx-Xa1zj-w,"I would like to give a TED talk, how would I do that?",1,2020-02-05T05:39:35.000Z,0.0,neutral,I would like to give a ted talk how would I do that ,"['I', 'would', 'like', 'give', 'ted', 'talk', 'would', 'I']"
1146,1147,bGUVQaBdxKw,UCGDrEwmwk2Qf7UqBHWfZHPw,"More focus and funding needs to go towards early childhood education. And schools. And activities for kids and teens. I mean, is this nature vs nurture? Which is it do ya think?",0,2020-02-15T08:38:43.000Z,0.09583333333333333,neutral,more focu and fund need to go toward earli childhood educ and school and activ for kid and teen I mean is thi natur vs nurtur which is it do ya think ,"['focu', 'fund', 'need', 'go', 'toward', 'earli', 'childhood', 'educ', 'school', 'activ', 'kid', 'teen', 'I', 'mean', 'natur', 'vs', 'nurtur', 'think']"
1147,1148,bGUVQaBdxKw,UCyahYK0VZq5KyFY-WWrcFyg,"Pro that, but it needs much more than that. Generally inequality has to become unfeasible. Repressing violence despite inequality is just the way to dictatorship, possibly with extra steps.",1,2020-02-05T07:39:39.000Z,0.1375,neutral,pro that but it need much more than that gener inequ ha to becom unfeas repress violenc despit inequ is just the way to dictatorship possibl with extra step ,"['pro', 'need', 'much', 'gener', 'inequ', 'becom', 'unfeas', 'repress', 'violenc', 'despit', 'inequ', 'way', 'dictatorship', 'possibl', 'extra', 'step']"
1148,1149,bGUVQaBdxKw,UCyahYK0VZq5KyFY-WWrcFyg,Miss Kleinfeld should learn about game theory,0,2020-02-05T07:41:39.000Z,-0.4,negative,miss kleinfeld should learn about game theori ,"['miss', 'kleinfeld', 'learn', 'game', 'theori']"
1149,1150,bGUVQaBdxKw,UCxLYI8vbf-43offXp6vLFaw,Is she talking about USA?,0,2020-02-05T15:33:49.000Z,0.0,neutral,Is she talk about usa ,"['Is', 'talk', 'usa']"
1150,1151,bGUVQaBdxKw,UC_DpCcyijJUGG6THVBRSE3Q,we have to fight with corruption,1,2020-02-04T23:43:04.000Z,0.0,neutral,we have to fight with corrupt ,"['fight', 'corrupt']"
1151,1152,bGUVQaBdxKw,UCBoC57T8g9GEi4ukUNYqF6g,What would you do without freedom?,0,2020-02-05T01:45:45.000Z,0.0,neutral,what would you do without freedom ,"['would', 'without', 'freedom']"
1152,1153,bGUVQaBdxKw,UCG-v17Y_4syfrPGilEBgKYw,Open borders and multiculturalism for Israel now!!,0,2020-02-05T21:27:22.000Z,0.0,neutral,open border and multicultur for israel now ,"['open', 'border', 'multicultur', 'israel']"
1153,1154,bGUVQaBdxKw,UCUv2d26BIwPdADOPWJNWtCA,"Thank You!.. - great - The part about ""good politicians"" - is the one I've loved most of all.. - Politicians are not sent to us from somewhere in space(( - They all are coming 'from the people'.. - and people are still very different.. - The diversity's good.. But it doesn't help to have the most.. hard to find a proper meaning in a foreign language((.. - for politics.. Maybe, it is so, because of today we need to check out the purposes and the meanings of the subject.. - what is it - that, why we need politics 'today' /'tomorrow'.. Can we have global politics? - or if not, then what are the main targets of national-states politics - ?..",2,2020-02-05T00:11:22.000Z,0.26794871794871805,neutral,thank you great the part about good politician is the one I love most of all politician are not sent to us from somewher in space they all are come the peopl and peopl are still veri differ the divers good but it doe help to have the most hard to find a proper mean in a foreign languag for polit mayb it is so becaus of today we need to check out the purpos and the mean of the subject what is it that whi we need polit can we have global polit or if not then what are the main target of polit ,"['thank', 'great', 'part', 'good', 'politician', 'I', 'love', 'politician', 'sent', 'us', 'somewher', 'space', 'peopl', 'peopl', 'still', 'veri', 'differ', 'divers', 'good', 'doe', 'help', 'hard', 'find', 'proper', 'mean', 'foreign', 'languag', 'polit', 'mayb', 'becaus', 'today', 'need', 'check', 'purpos', 'mean', 'subject', 'whi', 'need', 'polit', 'global', 'polit', 'main', 'target', 'polit']"
1155,1156,bGUVQaBdxKw,UCET-C5a-bmqXTMf2wAnxLUA,That really informative thank you so much TED to Share with us.,0,2020-02-05T05:19:56.000Z,0.2,neutral,that realli inform thank you so much ted to share with us ,"['realli', 'inform', 'thank', 'much', 'ted', 'share', 'us']"
1156,1157,bGUVQaBdxKw,UCYl4FEoRuAv9G2v0cid5VnA,"From her speech, I understand that respecting Politicians is the beginning of ending the violence. But is it really proved? Will it work if the politicians are bad? And, I think she should have mentioned rumors and fake news which play an important role in increasing the violence.",0,2020-02-05T11:18:26.000Z,-0.14999999999999994,neutral,from her speech I understand that respect politician is the begin of end the violenc but is it realli prove will it work if the politician are bad and I think she should have mention rumor and fake news which play an import role in increas the violenc ,"['speech', 'I', 'understand', 'respect', 'politician', 'begin', 'violenc', 'realli', 'prove', 'work', 'politician', 'bad', 'I', 'think', 'mention', 'rumor', 'fake', 'news', 'play', 'import', 'role', 'increas', 'violenc']"
1157,1158,bGUVQaBdxKw,UC3vgpHn3_HNmrSEJ-Z2yAjw,"I'm a Brazilian, I live in a city with a little more than 1 million inhabitants that is on the quoted list of the 50 most violent cities in the world. My father is a policeman, a month ago, he and his partner were activated to save the passengers of a bus who were being robbed by 4 bandits. This kind of thing is common here. The average brazilian family does not have a gun to defend themselves, last year we managed to decrease the number of murders from 57.00 to about 45.00, the credits go to our new president and the minister of justice.",7,2020-02-05T01:27:21.000Z,0.04352272727272727,neutral,I a brazilian I live in a citi with a littl more than 1 million inhabit that is on the quot list of the 50 most violent citi in the world My father is a policeman a month ago he and hi partner were activ to save the passeng of a bu who were be rob by 4 bandit thi kind of thing is common here the averag brazilian famili doe not have a gun to defend themselv last year we manag to decreas the number of murder from to about the credit go to our new presid and the minist of justic ,"['I', 'brazilian', 'I', 'live', 'littl', '1', 'million', 'inhabit', 'quot', 'list', '50', 'violent', 'world', 'My', 'father', 'policeman', 'month', 'ago', 'hi', 'partner', 'activ', 'save', 'passeng', 'rob', '4', 'bandit', 'kind', 'thing', 'common', 'averag', 'brazilian', 'famili', 'doe', 'gun', 'defend', 'themselv', 'last', 'year', 'manag', 'decreas', 'number', 'murder', 'credit', 'go', 'new', 'presid', 'minist', 'justic']"
1158,1159,bGUVQaBdxKw,UCH085AialAicaey48E2eEwA,step away from religion,1,2020-02-05T04:02:35.000Z,0.0,neutral,step away from religion ,"['step', 'away', 'religion']"
1159,1160,bGUVQaBdxKw,UCjuFBvTMyqoOQbwlmMuTQ3Q,the common denominator.. 13/50?,2,2020-02-04T23:42:48.000Z,-0.3,neutral,the common denomin ,"['common', 'denomin']"
1160,1161,bGUVQaBdxKw,UCYUkwxgpjKBSsfD9YNIuKfw,TED talks are turning into CNN editorials.,2,2020-02-05T09:46:13.000Z,0.0,neutral,ted talk are turn into cnn editori ,"['ted', 'talk', 'turn', 'cnn', 'editori']"
1161,1162,bGUVQaBdxKw,UCN8-6PGz_q7VcOzK-P4Mwjg,"If the courts and police were allowed to do their jobs, we wouldn't have these problems but we can't prosecute criminals because the liberals put as many roadblocks to prosecution as they possibly can.",0,2020-02-28T17:26:43.000Z,0.25,neutral,If the court and polic were allow to do their job we would have these problem but we ca prosecut crimin becaus the liber put as mani roadblock to prosecut as they possibl can ,"['If', 'court', 'polic', 'allow', 'job', 'would', 'problem', 'prosecut', 'crimin', 'becaus', 'liber', 'put', 'mani', 'roadblock', 'prosecut', 'possibl']"
1162,1163,bGUVQaBdxKw,UC22KtkKILpsCC1k7428eI7w,Who loves Ted?,2,2020-02-05T06:16:18.000Z,0.0,neutral,who love ted ,"['love', 'ted']"
1163,1164,bGUVQaBdxKw,UCHqwQSm6UWrOn-4HcyknhIg,"Thank You for sharing, That was very informative great talk. I believe If we start supporting term limits, that would be a good start. Go Trump 2020",0,2020-02-05T04:16:38.000Z,0.4875,positive,thank you for share that wa veri inform great talk I believ If we start support term limit that would be a good start Go trump 2020 ,"['thank', 'share', 'wa', 'veri', 'inform', 'great', 'talk', 'I', 'believ', 'If', 'start', 'support', 'term', 'limit', 'would', 'good', 'start', 'Go', 'trump', '2020']"
1164,1165,bGUVQaBdxKw,UClLA0yxnUHgDYxd0pL0K9sw,So America is in a messed??,1,2020-02-04T23:42:15.000Z,0.0,neutral,So america is in a mess ,"['So', 'america', 'mess']"
1165,1166,bGUVQaBdxKw,UCKB_1yU_ZjfS_9f-dZXsdig,In the right hand is a ?.We will never know. So throwing money at it won't work caring sorta works ..,0,2020-02-05T01:30:45.000Z,0.2857142857142857,neutral,In the right hand is a will never know So throw money at it wo work care sorta work ,"['In', 'right', 'hand', 'never', 'know', 'So', 'throw', 'money', 'work', 'sorta', 'work']"
1166,1167,bGUVQaBdxKw,UC7HoXjrp7ldNReXjlCuoD-A,first,0,2020-02-04T23:08:51.000Z,0.25,neutral,first ,['first']
1167,1168,bGUVQaBdxKw,UCuEcBjU9eLb0cpdJCqS1q3w,"Average politicians are unworthy of respect and prove themselves so time and again. Trust journalists? Laughable, their partisanship and wish for deaths is worse than politicians. They make their money on crime death and socialism.",0,2020-02-05T11:50:54.000Z,-0.35000000000000003,negative,averag politician are unworthi of respect and prove themselv so time and again trust journalist laughabl their partisanship and wish for death is wors than politician they make their money on crime death and social ,"['averag', 'politician', 'unworthi', 'respect', 'prove', 'themselv', 'time', 'trust', 'journalist', 'laughabl', 'partisanship', 'wish', 'death', 'wors', 'politician', 'make', 'money', 'crime', 'death', 'social']"
1168,1169,bGUVQaBdxKw,UCfckfSKjiZiLJ9C8HOQ2p2g,Diversity is not a strength.,1,2020-02-08T02:25:57.000Z,0.0,neutral,divers is not a strength ,"['divers', 'strength']"
1169,1170,bGUVQaBdxKw,UCUJIAFuMNh-vjtT9pgnoWbg,Pawg,0,2020-02-05T03:27:15.000Z,0.0,neutral,pawg ,['pawg']
1170,1171,bGUVQaBdxKw,UCYRWD6mU0D8GxoNnLxwl09A,"Wonderful lecture. <3 <3 <3 <3 <3 <3 <3 Well done, Rachel Kleinfeld.",2,2020-02-05T00:08:14.000Z,1.0,positive,wonder lectur 3 3 3 3 3 3 3 well done rachel kleinfeld ,"['wonder', 'lectur', '3', '3', '3', '3', '3', '3', '3', 'well', 'done', 'rachel', 'kleinfeld']"
1171,1172,bGUVQaBdxKw,UCqvO2vGevputnDGX8O99bSQ,But Iraqi population is 39 million while Mexico 129 million!!,14,2020-02-04T23:24:26.000Z,0.0,neutral,but iraqi popul is 39 million while mexico 129 million ,"['iraqi', 'popul', '39', 'million', 'mexico', '129', 'million']"
1172,1173,bGUVQaBdxKw,UCJfxLQ8semoiRHilr2CDJWg,"Beware, Rachel Kleinfeld is the founder of the Truman Project, a think thank created to mobilize for an American interventionist agenda. She may talk about security but, under the veneer of democracy, the Truman Project is about the subjugation of the world under military interventionism while amassing power and stuffing the pockets of those involved in the complex, including her own, of course.",0,2020-02-08T19:35:30.000Z,0.04999999999999999,neutral,bewar rachel kleinfeld is the founder of the truman project a think thank creat to mobil for an american interventionist agenda she may talk about secur but under the veneer of democraci the truman project is about the subjug of the world under militari intervention while amass power and stuf the pocket of those involv in the complex includ her own of cours ,"['bewar', 'rachel', 'kleinfeld', 'founder', 'truman', 'project', 'think', 'thank', 'creat', 'mobil', 'american', 'interventionist', 'agenda', 'may', 'talk', 'secur', 'veneer', 'democraci', 'truman', 'project', 'subjug', 'world', 'militari', 'intervention', 'amass', 'power', 'stuf', 'pocket', 'involv', 'complex', 'includ', 'cours']"
1173,1174,bGUVQaBdxKw,UCKbJUYzfT6T3Zrf8UTeK6IA,Make weapons easily accessible in your country is a great idea against violence.,3,2020-02-05T09:26:42.000Z,0.5875,positive,make weapon easili access in your countri is a great idea against violenc ,"['make', 'weapon', 'easili', 'access', 'countri', 'great', 'idea', 'violenc']"
1174,1175,bGUVQaBdxKw,UCJZNOKx8Uo8uwxP8LPS3YVA,Wow she pretty,11,2020-02-05T00:39:04.000Z,0.175,neutral,wow she pretti ,"['wow', 'pretti']"
1175,1176,bGUVQaBdxKw,UCyIoC0msB64gqz7s1pWCRTQ,"The situation in Brazil are so complicated, social inequalities, corruption, bad education.. the most people who die in Brazil are poor people and Black people, is really sad :(",0,2020-02-11T15:42:48.000Z,-0.3104166666666667,negative,the situat in brazil are so complic social inequ corrupt bad educ the most peopl who die in brazil are poor peopl and black peopl is realli sad ,"['situat', 'brazil', 'complic', 'social', 'inequ', 'corrupt', 'bad', 'educ', 'peopl', 'brazil', 'poor', 'peopl', 'black', 'peopl', 'realli', 'sad']"
1176,1177,bGUVQaBdxKw,UCt1Q1vqQA-Jg0X-TifBYh7g,"Did I miss it, or did she not even condemn the war on drugs and name fatherless homes as the majority cause of violence that passes down through generations?",5,2020-02-05T01:25:58.000Z,-0.1555555555555556,neutral,did I miss it or did she not even condemn the war on drug and name fatherless home as the major caus of violenc that pass down through gener ,"['I', 'miss', 'even', 'condemn', 'fatherless', 'home', 'major', 'caus', 'violenc', 'pass', 'gener']"
1177,1178,bGUVQaBdxKw,UCLKuOWJwbK7srOLcnZRYEcQ,"How about start with American, forcing violence in other countries using democracy as a tool for shaping and destroying countries? All the evil in this world enforced by United kingdom and United states. Venezuelas problem or Brazil corruption all is made by states. Some countries trying to be better but as soon new usa president come to power start destroying new countries. If usa stand up for humanity just for once I think we will get better world. As long money is king 99 percent of ppl will suffer till the end.",0,2020-02-06T02:46:54.000Z,-0.03022727272727273,neutral,how about start with american forc violenc in other countri use democraci as a tool for shape and destroy countri all the evil in thi world enforc by unit kingdom and unit state venezuela problem or brazil corrupt all is made by state some countri tri to be better but as soon new usa presid come to power start destroy new countri If usa stand up for human just for onc I think we will get better world As long money is king 99 percent of ppl will suffer till the end ,"['start', 'american', 'forc', 'violenc', 'countri', 'use', 'democraci', 'tool', 'shape', 'destroy', 'countri', 'evil', 'world', 'enforc', 'unit', 'kingdom', 'unit', 'state', 'venezuela', 'problem', 'brazil', 'corrupt', 'made', 'state', 'countri', 'better', 'soon', 'new', 'usa', 'presid', 'power', 'start', 'destroy', 'new', 'countri', 'If', 'usa', 'stand', 'human', 'onc', 'I', 'think', 'get', 'better', 'world', 'As', 'long', 'money', 'king', '99', 'percent', 'ppl', 'suffer']"
1178,1179,bGUVQaBdxKw,UCWUJ77EKP-TxPCmZnE4fQMQ,so taxing the rich is the solution? I'm gonna pretend to be poor then..,2,2020-02-05T13:51:08.000Z,-0.012500000000000013,neutral,so tax the rich is the solut I gon na pretend to be poor then ,"['tax', 'rich', 'solut', 'I', 'gon', 'pretend', 'poor']"
1179,1180,bGUVQaBdxKw,UCkDPUTY_b--LVjybBtm9kcw,Her arms are so hot,0,2020-02-04T23:18:12.000Z,0.25,neutral,her arm are so hot ,"['arm', 'hot']"
1180,1181,bGUVQaBdxKw,UCG-v17Y_4syfrPGilEBgKYw,"What l find most interesting is that Jews, like Rachel Kleinfeld, are busy pushing immigration on TED Talks and working the borders of countries to bring immigrants into Europe, Canada, USA, Australia, and yet Israel denies others to be in their country. Hypocritical, disingenuous, and pushing the NWO agenda of replacement migration.",0,2020-02-05T21:27:41.000Z,0.3666666666666667,positive,what l find most interest is that jew like rachel kleinfeld are busi push immigr on ted talk and work the border of countri to bring immigr into europ canada usa australia and yet israel deni other to be in their countri hypocrit disingenu and push the nwo agenda of replac migrat ,"['find', 'interest', 'jew', 'like', 'rachel', 'kleinfeld', 'busi', 'push', 'immigr', 'ted', 'talk', 'work', 'border', 'countri', 'bring', 'immigr', 'europ', 'canada', 'usa', 'australia', 'yet', 'israel', 'deni', 'countri', 'hypocrit', 'disingenu', 'push', 'nwo', 'agenda', 'replac', 'migrat']"
1181,1182,bGUVQaBdxKw,UCk5pzLoQOwtM5nS6UQtXl3w,"Bad statistics, bias, and agenda instead of thorough analysis. Late TED as usual.",2,2020-02-05T18:58:06.000Z,-0.4166666666666666,negative,bad statist bia and agenda instead of thorough analysi late ted as usual ,"['bad', 'statist', 'bia', 'agenda', 'instead', 'thorough', 'analysi', 'late', 'ted', 'usual']"
1182,1183,bGUVQaBdxKw,UCpgCL8Q5buLt2Wxeodv9VwA,"Just remember when men die, it's women who suffer! Just saying..lol",0,2020-02-06T21:01:42.000Z,0.0,neutral,just rememb when men die it women who suffer just say lol ,"['rememb', 'women', 'suffer', 'say', 'lol']"
1183,1184,bGUVQaBdxKw,UCq8IpL4WmV4CvXiQxYpZPgA,"Doesn't matter how much you talk about it, you aren't going to do anything about it because you are part of the problem and we destined for this fate the only thing that is certain is death.",5,2020-02-04T23:21:09.000Z,0.13809523809523808,neutral,doe matter how much you talk about it you are go to do anyth about it becaus you are part of the problem and we destin for thi fate the onli thing that is certain is death ,"['doe', 'matter', 'much', 'talk', 'go', 'anyth', 'becaus', 'part', 'problem', 'destin', 'fate', 'onli', 'thing', 'certain', 'death']"
1185,1186,bGUVQaBdxKw,UCwC0xPZg4tjoEUjnVjSByiQ,"Good talk, but completely wrong when it comes to Venezuela in particular. The US is literally funding the opposition there, when you've got a bigger nation funding civil war, and simultaneously sanctioning you so your people starve and get angry, the death rate has less so do with local politics and more to do with external politics that is beyond the local govt",12,2020-02-04T23:45:50.000Z,0.02,neutral,good talk but complet wrong when it come to venezuela in particular the US is liter fund the opposit there when you got a bigger nation fund civil war and simultan sanction you so your peopl starv and get angri the death rate ha less so do with local polit and more to do with extern polit that is beyond the local govt ,"['good', 'talk', 'complet', 'wrong', 'venezuela', 'particular', 'US', 'liter', 'fund', 'opposit', 'got', 'bigger', 'nation', 'fund', 'civil', 'simultan', 'sanction', 'peopl', 'starv', 'get', 'angri', 'death', 'rate', 'less', 'local', 'polit', 'extern', 'polit', 'beyond', 'local', 'govt']"
1186,1187,bGUVQaBdxKw,UCI9h40qFpemM1szCACmQNPQ,The US is responsible for a lot of the violence in the world. Why does the US operate over 850 bases around the world?! Her think tank should think about that.,0,2020-02-05T13:27:16.000Z,0.25,neutral,the US is respons for a lot of the violenc in the world whi doe the US oper over 850 base around the world her think tank should think about that ,"['US', 'respons', 'lot', 'violenc', 'world', 'whi', 'doe', 'US', 'oper', '850', 'base', 'around', 'world', 'think', 'tank', 'think']"
1187,1188,bGUVQaBdxKw,UCn7lhY8cqfYMR6ntdorwH2Q,She know.,0,2020-02-07T12:00:01.000Z,0.0,neutral,she know ,['know']
1188,1189,bGUVQaBdxKw,UCsWjd_dS37RtNBPDLxuPDPg,This def. Is not off the top of her head..SHE KEEPS LOOKING UP AT SOME SORT OF QUE OR PROMPTER. Listen to some of her subtle comments that expose her motive to give this speech.,1,2020-02-05T03:19:09.000Z,0.08333333333333334,neutral,thi def Is not off the top of her head she keep look UP AT some sort OF que OR prompter listen to some of her subtl comment that expos her motiv to give thi speech ,"['def', 'Is', 'top', 'head', 'keep', 'look', 'UP', 'AT', 'sort', 'OF', 'OR', 'prompter', 'listen', 'subtl', 'comment', 'expos', 'motiv', 'give', 'speech']"
1190,1191,bGUVQaBdxKw,UCYgFSgPWbLKGRuoaf-bho4w,False information,3,2020-02-05T07:44:41.000Z,-0.4000000000000001,negative,fals inform ,"['fals', 'inform']"
1191,1192,bGUVQaBdxKw,UCtX6Cl8ApVU3otG0l9R1Y7g,Ever think about spreading the Word of God to these places??,0,2020-02-05T17:11:23.000Z,0.0,neutral,ever think about spread the word of god to these place ,"['ever', 'think', 'spread', 'word', 'god', 'place']"
1192,1193,bGUVQaBdxKw,UChhyjU50Qx_w-BEllqxhddw,Maybe cops should be required to live in the neighborhoods they are assigned to,1,2020-02-05T03:01:26.000Z,0.13636363636363635,neutral,mayb cop should be requir to live in the neighborhood they are assign to ,"['mayb', 'cop', 'requir', 'live', 'neighborhood', 'assign']"
1193,1194,bGUVQaBdxKw,UCxin7lE4MzV7pB5yE7n7CKQ,As a colombian the real issue is drug trade being illegal.,2,2020-02-05T02:04:13.000Z,-0.15,neutral,As a colombian the real issu is drug trade be illeg ,"['As', 'colombian', 'real', 'issu', 'trade', 'illeg']"
